Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,0,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,4,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,5,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,6,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen do auckland,Auckland,NZ,6,1730,2100
