Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,0,1230,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,0,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,1,1230,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,1,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,2,1230,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,2,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,3,1230,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,3,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,4,1230,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,4,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,5,1200,1630
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,5,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,6,1230,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria basilico london,London,GB,6,1830,2230
