Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,5,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,6,1200,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data sen viet london,London,GB,6,1700,2200
