Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,0,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,1,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,2,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,3,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,4,1630,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data masters superfish london,London,GB,5,1630,2230
