Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,0,1030,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,0,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,1,1030,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,2,1030,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,3,1030,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,4,1030,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,4,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,5,1030,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,5,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data boat street kitchen and bistro seattle,Seattle,US,6,1030,1430
