Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,0,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,1,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,2,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,3,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,4,1700,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,5,1100,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data lollipot san francisco,San Francisco,US,6,1100,0000
