Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,0,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,1,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,2,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,3,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,4,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,4,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,5,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,5,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,6,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kitchen story san francisco,San Francisco,US,6,1700,2200
