Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,0,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,1,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,2,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,3,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,4,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,5,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,5,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,6,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data l espalier boston,Boston,US,6,1730,2230
