Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,5,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data las canteras washington,Washington,US,6,1200,2200
