Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,0,1600,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,1,1600,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,2,1600,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,3,1600,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,4,1600,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data black pearl asian cuisine birmingham,Birmingham,US,5,1100,0000
