Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,0,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,1,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,2,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,3,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,4,1630,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,5,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,5,1630,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data great wall chinese restaurant birmingham,Birmingham,US,6,1100,2100
