Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,0,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,1,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,5,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,5,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,6,1000,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data brennans of houston houston,Houston,US,6,1730,2200
