Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,0,1100,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,0,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,1,1100,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,1,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,2,1100,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,2,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,3,1100,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,3,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,4,1100,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,5,1200,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data nidda thai cuisine houston,Houston,US,6,1200,2130
