Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,1,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,2,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,6,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data daikaya izakaya washington,Washington,US,6,1700,2200
