Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,0,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,0,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,1,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,1,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,2,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,2,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,3,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,3,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,4,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,4,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,5,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,5,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,6,0800,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data locanda verde new york,New York,US,6,1730,2300
