Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,0,1145,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,0,1700,2245
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,1,1145,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,1,1700,2245
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,2,1145,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,2,1700,2245
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,3,1045,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,3,1700,2245
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,4,1145,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,4,1700,2245
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,5,1145,2245
PYTHON  DataAnalysis Python Spring   Assignment   Data momokawa new york,New York,US,6,1145,2345
