Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,0,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,0,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,1,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,2,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,3,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,4,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,5,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,6,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hawker sydney,Sydney,AU,6,1730,2130
