Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,1,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,2,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,3,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,4,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,5,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,6,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data lut ce bistro and wine bar brisbane,Brisbane,AU,6,1800,2200
