Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,3,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,4,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data one tea lounge and grill sydney,Sydney,AU,5,1730,0000
