Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,0,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,1,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,1,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,2,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,2,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,3,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,3,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,4,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,4,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,5,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,5,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data the dining room sydney,Sydney,AU,6,0700,1100
