Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,0,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,1,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,2,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,3,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,4,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,5,1230,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data thailicious melbourne,Melbourne,AU,6,1230,2130
