Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,0,1200,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,0,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,1,1200,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,1,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,2,1200,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,2,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,3,1200,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,3,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,4,1200,1445
PYTHON  DataAnalysis Python Spring   Assignment   Data machiavelli ristorante italiano sydney,Sydney,AU,4,1800,2130
