Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,0,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,1,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,2,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,3,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,4,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,5,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,6,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data shanghai street melbourne,Melbourne,AU,6,1630,2030
