Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,0,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,0,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,1,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,1,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,2,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,2,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,3,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,3,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,4,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,4,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,5,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,5,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,6,0630,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data ivy and jack perth,Perth,AU,6,1130,2200
