Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,0,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data asian noodle house phillip,Phillip,AU,5,1730,2200
