Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,3,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,4,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,5,1130,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data chefs gallery townhall sydney,Sydney,AU,6,1130,2200
