Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,3,1700,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,4,1600,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data seamstress melbourne,Melbourne,AU,5,1700,0100
