Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,0,1030,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,1,1030,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,3,1030,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,4,1030,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,5,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,5,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,6,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data paddy field chinese restaurant perth,Perth,AU,6,1730,2200
